Data Table for Daily Case Trends - Florida
Date generated: Tue Dec 14 2021 15:16:56 GMT-1000 (Hawaii-Aleutian Standard Time)
State,Date,New Cases
Florida,Mar 24 2021,5787
Florida,Mar 23 2021,5140
Florida,Mar 22 2021,5264
Florida,Mar 21 2021,2947
Florida,Mar 20 2021,3946
Florida,Mar 19 2021,4883
Florida,Mar 18 2021,5061
Florida,Mar 17 2021,5851
Florida,Mar 16 2021,4657
Florida,Mar 15 2021,4612
Florida,Mar 14 2021,2869
Florida,Mar 13 2021,3800
Florida,Mar 12 2021,5139
Florida,Mar 11 2021,5033
Florida,Mar 10 2021,4996
Florida,Mar  9 2021,4793
Florida,Mar  8 2021,4401
Florida,Mar  7 2021,3359
Florida,Mar  6 2021,4047
Florida,Mar  5 2021,4561
Florida,Mar  4 2021,5867
Florida,Mar  3 2021,6039
Florida,Mar  2 2021,4626
Florida,Mar  1 2021,6932
Florida,Feb 28 2021,1796
Florida,Feb 27 2021,4786
Florida,Feb 26 2021,5398
Florida,Feb 25 2021,5888
Florida,Feb 24 2021,6507
Florida,Feb 23 2021,7027
Florida,Feb 22 2021,5541
Florida,Feb 21 2021,4077
Florida,Feb 20 2021,4898
Florida,Feb 19 2021,7065
Florida,Feb 18 2021,6588
Florida,Feb 17 2021,5019
Florida,Feb 16 2021,7178
Florida,Feb 15 2021,6653
Florida,Feb 14 2021,3746
Florida,Feb 13 2021,5660
Florida,Feb 12 2021,7083
Florida,Feb 11 2021,7428
Florida,Feb 10 2021,8245
Florida,Feb  9 2021,7401
Florida,Feb  8 2021,6996
Florida,Feb  7 2021,5508
Florida,Feb  6 2021,6614
Florida,Feb  5 2021,7330
Florida,Feb  4 2021,10498
Florida,Feb  3 2021,7484
Florida,Feb  2 2021,6742
Florida,Feb  1 2021,10269
Florida,Jan 31 2021,5585
Florida,Jan 30 2021,7637
Florida,Jan 29 2021,14663
Florida,Jan 28 2021,10821
Florida,Jan 27 2021,11263
Florida,Jan 26 2021,8215
Florida,Jan 25 2021,9390
Florida,Jan 24 2021,8540
Florida,Jan 23 2021,9380
Florida,Jan 22 2021,12048
Florida,Jan 21 2021,13410
Florida,Jan 20 2021,12639
Florida,Jan 19 2021,11549
Florida,Jan 18 2021,9570
Florida,Jan 17 2021,7818
Florida,Jan 16 2021,10781
Florida,Jan 15 2021,11884
Florida,Jan 14 2021,16486
Florida,Jan 13 2021,13371
Florida,Jan 12 2021,13656
Florida,Jan 11 2021,14554
Florida,Jan 10 2021,11574
Florida,Jan  9 2021,12240
Florida,Jan  8 2021,15011
Florida,Jan  7 2021,19054
Florida,Jan  6 2021,19382
Florida,Jan  5 2021,17372
Florida,Jan  4 2021,15169
Florida,Jan  3 2021,11207
Florida,Jan  2 2021,10424
Florida,Jan  1 2021,9659
Florida,Dec 31 2020,20939
Florida,Dec 30 2020,16489
Florida,Dec 29 2020,13408
Florida,Dec 28 2020,11873
Florida,Dec 27 2020,8000
Florida,Dec 26 2020,7034
Florida,Dec 25 2020,5915
Florida,Dec 24 2020,10605
Florida,Dec 23 2020,12810
Florida,Dec 22 2020,11106
Florida,Dec 21 2020,10178
Florida,Dec 20 2020,10687
Florida,Dec 19 2020,8148
Florida,Dec 18 2020,11382
Florida,Dec 17 2020,12909
Florida,Dec 16 2020,12839
Florida,Dec 15 2020,11311
Florida,Dec 14 2020,9395
Florida,Dec 13 2020,8272
Florida,Dec 12 2020,8827
Florida,Dec 11 2020,10384
Florida,Dec 10 2020,11368
Florida,Dec  9 2020,11220
Florida,Dec  8 2020,9347
Florida,Dec  7 2020,7823
Florida,Dec  6 2020,7511
Florida,Dec  5 2020,8189
Florida,Dec  4 2020,10159
Florida,Dec  3 2020,9936
Florida,Dec  2 2020,10626
Florida,Dec  1 2020,9892
Florida,Nov 30 2020,8639
Florida,Nov 29 2020,6459
Florida,Nov 28 2020,7155
Florida,Nov 27 2020,6120
Florida,Nov 26 2020,6587
Florida,Nov 25 2020,10109
Florida,Nov 24 2020,8081
Florida,Nov 23 2020,8096
Florida,Nov 22 2020,6090
Florida,Nov 21 2020,6466
Florida,Nov 20 2020,8167
Florida,Nov 19 2020,8836
Florida,Nov 18 2020,8943
Florida,Nov 17 2020,7731
Florida,Nov 16 2020,7303
Florida,Nov 15 2020,4505
Florida,Nov 14 2020,9874
Florida,Nov 13 2020,4408
Florida,Nov 12 2020,6729
Florida,Nov 11 2020,5463
Florida,Nov 10 2020,5678
Florida,Nov  9 2020,4262
Florida,Nov  8 2020,3811
Florida,Nov  7 2020,6588
Florida,Nov  6 2020,4340
Florida,Nov  5 2020,5164
Florida,Nov  4 2020,6110
Florida,Nov  3 2020,4357
Florida,Nov  2 2020,4545
Florida,Nov  1 2020,2662
Florida,Oct 31 2020,6465
Florida,Oct 30 2020,2493
Florida,Oct 29 2020,5394
Florida,Oct 28 2020,4144
Florida,Oct 27 2020,4035
Florida,Oct 26 2020,4248
Florida,Oct 25 2020,3315
Florida,Oct 24 2020,2334
Florida,Oct 23 2020,4377
Florida,Oct 22 2020,3692
Florida,Oct 21 2020,5419
Florida,Oct 20 2020,2132
Florida,Oct 19 2020,3581
Florida,Oct 18 2020,1740
Florida,Oct 17 2020,2458
Florida,Oct 16 2020,3972
Florida,Oct 15 2020,3367
Florida,Oct 14 2020,3280
Florida,Oct 13 2020,2831
Florida,Oct 12 2020,2678
Florida,Oct 11 2020,1552
Florida,Oct 10 2020,3618
Florida,Oct  9 2020,1772
Florida,Oct  8 2020,2857
Florida,Oct  7 2020,3255
